area_type,availability,location,size,total_sqft,bath,balcony,price(in Lakhs),price
Super built-up  Area,Ready To Move,12th cross srinivas nagar banshankari 3rd stage,1 BHK,1800,1,1,200,20000000
Plot  Area,Ready To Move,1A Block Koramangala,4 BHK,2360,4,1,650,65000000
Built-up  Area,Ready To Move,1st Block BEL Layout,4 BHK,1800,5,1,250,25000000
Super built-up  Area,Ready To Move,1st Block BEL Layout,3 BHK,1540,3,2,85,8500000
Built-up  Area,Ready To Move,1st Block HBR Layout,4 BHK,3150,4,2,150,15000000
Super built-up  Area,Ready To Move,1st Block HBR Layout,1 BHK,600,1,0,45,4500000
Plot  Area,Ready To Move,1st Block HRBR Layout,3 BHK,600,3,2,125,12500000
Plot  Area,Ready To Move,1st Block HRBR Layout,3 BHK,600,3,1,90,9000000
Plot  Area,Ready To Move,1st Block HRBR Layout,3 BHK,600,4,2,125,12500000
Super built-up  Area,Ready To Move,1st Block HRBR Layout,2 BHK,1250,2,1,67,6700000
Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,2450,4,2,368,36800000
Plot  Area,Ready To Move,1st Block Jayanagar,4 BHK,2400,4,2,450,45000000
Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,2850,4,1,428,42800000
Super built-up  Area,18-Jun,1st Block Jayanagar,3 BHK,1630,3,2,194,19400000
Super built-up  Area,Ready To Move,1st Block Jayanagar,3 BHK,1875,2,3,235,23500000
Super built-up  Area,Ready To Move,1st Block Jayanagar,2 BHK,1000,3,2,60,6000000
Super built-up  Area,18-Jun,1st Block Jayanagar,2 BHK,1235,2,2,148,14800000
Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,2750,4,0,413,41300000
Built-up  Area,15-Dec,1st Block Jayanagar,3 BHK,1200,2,0,130,13000000
Plot  Area,18-May,1st Block Koramangala,4 BHK,2360,4,2,601,60100000
Built-up  Area,18-Mar,1st Block Koramangala,3 BHK,2350,3,2,210,21000000
Plot  Area,18-May,1st Block Koramangala,4 BHK,2360,4,2,600,60000000
Built-up  Area,Ready To Move,1st Block Koramangala,2 BHK,860,2,2,65.5,6550000
Plot  Area,Ready To Move,1st Block Koramangala,4 BHK,1200,5,1,350,35000000
Super built-up  Area,Ready To Move,1st Block Koramangala,3 BHK,1800,3,2,53,5300000
Super built-up  Area,18-Dec,1st Block Koramangala,4 BHK,3000,3,3,300,30000000
Built-up  Area,Ready To Move,1st Block Koramangala,2 BHK,1415,2,3,110,11000000
Super built-up  Area,Ready To Move,1st Block Koramangala,2 BHK,1000,2,2,45,4500000
Super built-up  Area,Ready To Move,1st Block Koramangala,4 BHK,3000,5,3,500,50000000
Built-up  Area,Ready To Move,1st Phase JP Nagar,1 BHK,840,2,2,50,5000000
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,900,2,1,75,7500000
Super built-up  Area,Ready To Move,1st Phase JP Nagar,4 BHK,2615,5,3,222,22200000
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,1205,2,1,85,8500000
Super built-up  Area,Ready To Move,1st Phase JP Nagar,4 BHK,4550,2,1,240,24000000
